1,0,-1769,-19014,30000,0,-8814,-20701,29515,0,-8814,0
2,250,-1403,-20764,29470,0,-6493,-22328,28821,0,-6493,0
3,500,-1030,-22390,28773,0,-4139,-23825,27965,0,-4139,0
4,750,-652,-23881,27909,0,-1766,-25178,26946,0,-1766,0
5,1000,-271,-25227,26882,0,613,-26378,25768,0,613,0
6,1250,111,-26420,25697,0,2983,-27417,24437,0,2983,0
7,1500,492,-27451,24360,0,5332,-28287,22960,0,5332,0
8,1750,869,-28316,22879,0,7644,-28985,21346,0,7644,0
9,2000,1240,-29006,21261,0,9907,-29505,19605,0,9907,0
10,2250,1602,-29519,19516,0,12106,-29844,17745,0,12106,0
11,2500,1955,-29851,17654,0,14229,-30000,15778,0,14229,0
12,2750,2295,-30000,15686,0,16263,-29971,13717,0,16263,0
13,3000,2621,-29964,13623,0,18195,-29758,11572,0,18195,0
14,3250,2931,-29744,11478,0,20014,-29362,9357,0,20014,0
15,3500,3222,-29341,9263,0,21708,-28786,7086,0,21708,0
16,3750,3493,-28758,6993,0,23269,-28032,4773,0,23269,0
17,4000,3743,-27998,4681,0,24685,-27105,2430,0,24685,0
18,4250,3969,-27065,2341,0,25948,-26012,74,0,25948,0
19,4500,4171,-25965,-13,0,27051,-24758,-2283,0,27051,0
20,4750,4347,-24706,-2366,0,27987,-23352,-4624,0,27987,0
21,5000,4496,-23294,-4704,0,28750,-21802,-6937,0,28750,0
22,5250,4617,-21739,-7013,0,29336,-20118,-9207,0,29336,0
23,5500,4710,-20050,-9278,0,29740,-18309,-11420,0,29740,0
24,5750,4774,-18238,-11485,0,29961,-16388,-13562,0,29961,0
25,6000,4809,-16313,-13622,0,29997,-14366,-15621,0,29997,0
26,6250,4813,-14288,-15674,0,29848,-12256,-17582,0,29848,0
27,6500,4788,-12174,-17630,0,29515,-10070,-19436,0,29515,0
28,6750,4734,-9986,-19476,0,29000,-7821,-21169,0,29000,0
29,7000,4650,-7736,-21203,0,28306,-5525,-22772,0,28306,0
30,7250,4538,-5438,-22798,0,27437,-3195,-24234,0,27437,0
31,7500,4397,-3107,-24253,0,26399,-844,-25547,0,26399,0
32,7750,4230,-757,-25559,0,25199,1511,-26702,0,25199,0
33,8000,4036,1598,-26706,0,23843,3857,-27693,0,23843,0
34,8250,3817,3943,-27689,0,22340,6179,-28513,0,22340,0
35,8500,3575,6264,-28502,0,20699,8463,-29157,0,20699,0
36,8750,3311,8546,-29138,0,18930,10695,-29621,0,18930,0
37,9000,3027,10776,-29595,0,17045,12861,-29902,0,17045,0
38,9250,2724,12939,-29869,0,15055,14947,-30000,0,15055,0
39,9500,2404,15022,-29960,0,12972,16942,-29912,0,12972,0
40,9750,2069,17012,-29865,0,10809,18832,-29640,0,10809,0
41,10000,1721,18898,-29586,0,8579,20606,-29185,0,8579,0
42,10250,1363,20667,-29125,0,6297,22253,-28550,0,6297,0
43,10500,997,22309,-28484,0,3975,23762,-27739,0,3975,0
44,10750,624,23813,-27668,0,1629,25125,-26757,0,1629,0
45,11000,247,25171,-26681,0,-727,26334,-25610,0,-727,0
46,11250,-131,26373,-25530,0,-3078,27380,-24305,0,-3078,0
47,11500,-508,27412,-24221,0,-5411,28257,-22850,0,-5411,0
48,11750,-882,28283,-22763,0,-7710,28960,-21255,0,-7710,0
49,12000,-1251,28979,-21164,0,-9962,29484,-19528,0,-9962,0
50,12250,-1612,29497,-19435,0,-12152,29826,-17681,0,-12152,0
