         1,         0, -4462,   949,  2786,     0,     0,    -1,1
         2,       250, -4462,   952,  2783,     0,   -30,    28,1
         3,       500, -4464,   971,  2767,    20,  -200,   178,1
         4,       750, -4469,   995,  2750,    67,  -347,   279,1
         5,      1000, -4478,  1022,  2734,   134,  -504,   369,1
         6,      1250, -4490,  1055,  2716,   227,  -681,   452,1
         7,      1500, -4507,  1091,  2700,   338,  -796,   457,1
         8,      1750, -4529,  1130,  2686,   464,  -966,   500,1
         9,      2000, -4555,  1170,  2676,   613, -1130,   516,1
        10,      2250, -4585,  1211,  2670,   775, -1246,   469,1
        11,      2500, -4620,  1250,  2669,   950, -1389,   437,1
        12,      2750, -4658,  1290,  2673,  1137, -1492,   353,1
        13,      3000, -4701,  1327,  2682,  1329, -1579,   248,1
        14,      3250, -4746,  1362,  2697,  1529, -1673,   143,1
        15,      3500, -4795,  1395,  2718,  1731, -1709,   -24,1
        16,      3750, -4845,  1422,  2746,  1930, -1739,  -192,1
        17,      4000, -4898,  1446,  2779,  2127, -1756,  -373,1
        18,      4250, -4951,  1464,  2818,  2317, -1715,  -603,1
        19,      4500, -5005,  1476,  2864,  2495, -1672,  -825,1
        20,      4750, -5058,  1483,  2915,  2663, -1597, -1067,1
        21,      5000, -5111,  1482,  2971,  2814, -1476, -1339,1
        22,      5250, -5162,  1474,  3033,  2946, -1349, -1598,1
        23,      5500, -5211,  1459,  3099,  3058, -1180, -1879,1
        24,      5750, -5257,  1436,  3169,  3145,  -979, -2167,1
        25,      6000, -5300,  1406,  3243,  3207,  -765, -2442,1
        26,      6250, -5338,  1367,  3320,  3241,  -511, -2731,1
        27,      6500, -5371,  1320,  3399,  3245,  -237, -3008,1
        28,      6750, -5399,  1266,  3480,  3218,    55, -3273,1
        29,      7000, -5420,  1204,  3561,  3158,   380, -3538,1
        30,      7250, -5435,  1134,  3643,  3064,   713, -3777,1
        31,      7500, -5443,  1057,  3724,  2937,  1067, -4004,1
        32,      7750, -5443,   973,  3803,  2774,  1439, -4213,1
        33,      8000, -5436,   882,  3881,  2577,  1811, -4388,1
        34,      8250, -5420,   786,  3954,  2346,  2200, -4545,1
        35,      8500, -5396,   684,  4025,  2080,  2592, -4672,1
        36,      8750, -5363,   578,  4090,  1782,  2977, -4760,1
        37,      9000, -5321,   468,  4150,  1453,  3370, -4823,1
        38,      9250, -5271,   355,  4203,  1094,  3749, -4843,1
        39,      9500, -5212,   240,  4249,   707,  4118, -4826,1
        40,      9750, -5145,   123,  4288,   295,  4480, -4775,1
        41,     10000, -5069,     6,  4318,  -141,  4817, -4677,1
        42,     10250, -4985,  -111,  4339,  -596,  5136, -4540,1
        43,     10500, -4894,  -226,  4351, -1069,  5433, -4364,1
        44,     10750, -4795,  -339,  4353, -1556,  5696, -4141,1
        45,     11000, -4690,  -448,  4344, -2052,  5933, -3882,1
        46,     11250, -4579,  -553,  4325, -2556,  6135, -3579,1
        47,     11500, -4462,  -652,  4294, -3062,  6296, -3234,1
        48,     11750, -4340,  -745,  4253, -3567,  6422, -2857,1
        49,     12000, -4215,  -830,  4201, -4067,  6503, -2438,1
        50,     12250, -4086,  -907,  4137, -4557,  6539, -1984,1
        51,     12500, -3955,  -975,  4062, -5033,  6533, -1502,1
        52,     12750, -3822, -1033,  3977, -5492,  6475,  -985,1
        53,     13000, -3690, -1081,  3880, -5929,  6371,  -444,1
        54,     13250, -3557, -1117,  3774, -6340,  6219,   119,1
        55,     13500, -3427, -1140,  3658, -6721,  6013,   706,1
        56,     13750, -3299, -1152,  3533, -7068,  5761,  1305,1
        57,     14000, -3174, -1150,  3399, -7379,  5459,  1917,1
        58,     14250, -3054, -1135,  3258, -7648,  5107,  2539,1
        59,     14500, -2940, -1106,  3109, -7874,  4710,  3160,1
        60,     14750, -2832, -1063,  2955, -8052,  4267,  3783,1
        61,     15000, -2732, -1006,  2795, -8182,  3778,  4400,1
        62,     15250, -2640,  -936,  2631, -8259,  3251,  5004,1
        63,     15500, -2557,  -851,  2464, -8283,  2684,  5595,1
        64,     15750, -2485,  -753,  2294, -8251,  2081,  6166,1
